date,state,district,deaths
2018-02-01,Kerala,Ernakulam,1501
2018-02-01,Kerala,Idukki,498
2018-02-01,Kerala,Kannur,1521
2018-02-01,Kerala,Kasaragod,577
2018-02-01,Kerala,Kollam,1529
2018-02-01,Kerala,Kottayam,1500
2018-02-01,Kerala,Kozhikode,1989
2018-02-01,Kerala,Malappuram,1528
2018-02-01,Kerala,Palakkad,1461
2018-02-01,Kerala,Pathanamthitta,919
2018-02-01,Kerala,Thiruvananthapuram,2440
2018-02-01,Kerala,Thrissur,2241
2018-02-01,Kerala,Wayanad,369
2018-03-01,Kerala,Alappuzha,1440
2018-03-01,Kerala,Ernakulam,1585
2018-03-01,Kerala,Idukki,538
2018-03-01,Kerala,Kannur,1493
2018-03-01,Kerala,Kasaragod,527
2018-03-01,Kerala,Kollam,1624
2018-03-01,Kerala,Kottayam,1572
2018-03-01,Kerala,Kozhikode,1980
2018-03-01,Kerala,Malappuram,1543
2018-03-01,Kerala,Palakkad,1437
2018-03-01,Kerala,Pathanamthitta,1003
2018-03-01,Kerala,Thiruvananthapuram,2495
2018-03-01,Kerala,Thrissur,2235
2018-03-01,Kerala,Wayanad,363
2018-04-01,Kerala,Alappuzha,1278
2018-04-01,Kerala,Ernakulam,1563
2018-04-01,Kerala,Idukki,503
2018-04-01,Kerala,Kannur,1385
2018-04-01,Kerala,Kasaragod,548
2018-04-01,Kerala,Kollam,1504
2018-04-01,Kerala,Kottayam,1436
2018-04-01,Kerala,Kozhikode,1939
2018-04-01,Kerala,Malappuram,1522
2018-04-01,Kerala,Palakkad,1339
2018-04-01,Kerala,Pathanamthitta,935
2018-04-01,Kerala,Thiruvananthapuram,2357
2018-04-01,Kerala,Thrissur,2169
2018-04-01,Kerala,Wayanad,345
2018-05-01,Kerala,Alappuzha,1252
2018-05-01,Kerala,Ernakulam,1566
2018-05-01,Kerala,Idukki,505
2018-05-01,Kerala,Kannur,1387
2018-05-01,Kerala,Kasaragod,596
2018-05-01,Kerala,Kollam,1483
2018-05-01,Kerala,Kottayam,1579
2018-05-01,Kerala,Kozhikode,2077
2018-05-01,Kerala,Malappuram,1607
2018-05-01,Kerala,Palakkad,1440
2018-05-01,Kerala,Pathanamthitta,972
2018-05-01,Kerala,Thiruvananthapuram,2321
2018-05-01,Kerala,Thrissur,2212
2018-05-01,Kerala,Wayanad,371
2018-06-01,Kerala,Alappuzha,1295
2018-06-01,Kerala,Ernakulam,1599
2018-06-01,Kerala,Idukki,581
2018-06-01,Kerala,Kannur,1533
2018-06-01,Kerala,Kasaragod,614
2018-06-01,Kerala,Kollam,1612
2018-06-01,Kerala,Kottayam,1623
2018-06-01,Kerala,Kozhikode,1941
2018-06-01,Kerala,Malappuram,1755
2018-06-01,Kerala,Palakkad,1501
2018-06-01,Kerala,Pathanamthitta,984
2018-06-01,Kerala,Thiruvananthapuram,2578
2018-06-01,Kerala,Thrissur,2421
2018-06-01,Kerala,Wayanad,389
2018-07-01,Kerala,Alappuzha,1564
2018-07-01,Kerala,Ernakulam,1911
2018-07-01,Kerala,Idukki,691
2018-07-01,Kerala,Kannur,1648
2018-07-01,Kerala,Kasaragod,718
2018-07-01,Kerala,Kollam,1821
2018-07-01,Kerala,Kottayam,1889
2018-07-01,Kerala,Kozhikode,2357
2018-07-01,Kerala,Malappuram,2020
2018-07-01,Kerala,Palakkad,1699
2018-07-01,Kerala,Pathanamthitta,1155
2018-07-01,Kerala,Thiruvananthapuram,2783
2018-07-01,Kerala,Thrissur,2673
2018-07-01,Kerala,Wayanad,437
2018-08-01,Kerala,Alappuzha,1642
2018-08-01,Kerala,Ernakulam,2091
2018-08-01,Kerala,Idukki,750
2018-08-01,Kerala,Kannur,1855
2018-08-01,Kerala,Kasaragod,747
2018-08-01,Kerala,Kollam,1973
2018-08-01,Kerala,Kottayam,1966
2018-08-01,Kerala,Kozhikode,2730
2018-08-01,Kerala,Malappuram,2323
2018-08-01,Kerala,Palakkad,1939
2018-08-01,Kerala,Pathanamthitta,1335
2018-08-01,Kerala,Thiruvananthapuram,2782
2018-08-01,Kerala,Thrissur,3040
2018-08-01,Kerala,Wayanad,506
