date,state,district,female,male,deaths
2018-08-01,Maharashtra,Nandurbar,328,458,786
2018-08-01,Maharashtra,Dhule,261,419,680
2018-08-01,Maharashtra,Jalgaon,292,477,769
2018-08-01,Maharashtra,Buldana,162,245,407
2018-08-01,Maharashtra,Akola,319,491,810
2018-08-01,Maharashtra,Washim,95,130,225
2018-08-01,Maharashtra,Amravati,688,1026,1714
2018-08-01,Maharashtra,Wardha,246,410,656
2018-08-01,Maharashtra,Nagpur,1069,1732,2801
2018-08-01,Maharashtra,Bhandara,176,252,428
2018-08-01,Maharashtra,Gondiya,28,59,87
2018-08-01,Maharashtra,Gadchiroli,106,200,306
2018-08-01,Maharashtra,Chandrapur,308,394,702
2018-08-01,Maharashtra,Yavatmal,240,344,584
2018-08-01,Maharashtra,Nanded,333,543,876
2018-08-01,Maharashtra,Hingoli,57,113,170
2018-08-01,Maharashtra,Parbhani,143,280,423
2018-08-01,Maharashtra,Jalna,141,285,426
2018-08-01,Maharashtra,Aurangabad,265,498,763
2018-08-01,Maharashtra,Nashik,855,1194,2049
2018-08-01,Maharashtra,Thane,1232,1715,2947
2018-08-01,Maharashtra,Mumbai Suburban,1828,2253,4081
2018-08-01,Maharashtra,Mumbai,1304,1966,3270
2018-08-01,Maharashtra,Raigarh,182,225,407
2018-08-01,Maharashtra,Pune,603,997,1600
2018-08-01,Maharashtra,Ahmednagar,423,669,1092
2018-08-01,Maharashtra,Beed,152,329,481
2018-08-01,Maharashtra,Latur,292,525,817
2018-08-01,Maharashtra,Osmanabad,105,175,280
2018-08-01,Maharashtra,Solapur,477,710,1187
2018-08-01,Maharashtra,Satara,712,928,1640
2018-08-01,Maharashtra,Ratnagiri,116,170,286
2018-08-01,Maharashtra,Sindhudurg,191,197,388
2018-08-01,Maharashtra,Kolhapur,447,527,974
2018-08-01,Maharashtra,Sangli,117,163,280
2018-08-01,Maharashtra,Palghar,254,350,604
2018-09-01,Maharashtra,Nandurbar,297,466,763
2018-09-01,Maharashtra,Dhule,319,468,787
2018-09-01,Maharashtra,Jalgaon,319,492,811
2018-09-01,Maharashtra,Buldana,162,239,401
2018-09-01,Maharashtra,Akola,360,543,903
2018-09-01,Maharashtra,Washim,81,133,214
2018-09-01,Maharashtra,Amravati,630,1040,1670
2018-09-01,Maharashtra,Wardha,255,404,659
2018-09-01,Maharashtra,Nagpur,1192,1826,3018
2018-09-01,Maharashtra,Bhandara,184,293,477
2018-09-01,Maharashtra,Gondiya,37,51,88
2018-09-01,Maharashtra,Gadchiroli,148,179,327
2018-09-01,Maharashtra,Chandrapur,278,402,680
2018-09-01,Maharashtra,Yavatmal,242,356,598
2018-09-01,Maharashtra,Nanded,323,534,857
2018-09-01,Maharashtra,Hingoli,64,108,172
2018-09-01,Maharashtra,Parbhani,149,255,404
2018-09-01,Maharashtra,Jalna,158,259,417
2018-09-01,Maharashtra,Aurangabad,291,551,842
2018-09-01,Maharashtra,Nashik,949,1261,2210
2018-09-01,Maharashtra,Thane,1393,1959,3352
2018-09-01,Maharashtra,Mumbai Suburban,2085,2355,4440
2018-09-01,Maharashtra,Mumbai,1493,2068,3561
2018-09-01,Maharashtra,Raigarh,160,224,384
2018-09-01,Maharashtra,Pune,630,1035,1665
2018-09-01,Maharashtra,Ahmednagar,450,715,1165
2018-09-01,Maharashtra,Beed,175,335,510
2018-09-01,Maharashtra,Latur,299,504,803
2018-09-01,Maharashtra,Osmanabad,111,201,312
2018-09-01,Maharashtra,Solapur,480,745,1225
2018-09-01,Maharashtra,Satara,773,977,1750
2018-09-01,Maharashtra,Ratnagiri,157,205,362
2018-09-01,Maharashtra,Sindhudurg,193,219,412
2018-09-01,Maharashtra,Kolhapur,417,522,939
2018-09-01,Maharashtra,Sangli,130,202,332
2018-09-01,Maharashtra,Palghar,282,370,652
2018-10-01,Maharashtra,Nandurbar,276,453,729
2018-10-01,Maharashtra,Dhule,304,470,774
2018-10-01,Maharashtra,Jalgaon,346,544,890
2018-10-01,Maharashtra,Buldana,169,294,463
2018-10-01,Maharashtra,Akola,320,572,892
2018-10-01,Maharashtra,Washim,92,137,229
2018-10-01,Maharashtra,Amravati,615,1046,1661
